FMS,District
Galmudug,Adaado
Southwest,Afgoye 
Jubbaland,Afmadow
Southwest,Baidoa
Jubbaland,Bardera
Hirshabelle,Beledweyne
Jubbaland,Belet-Hawa
Banadir,Bondhere
Somaliland,Borama
Puntland,Burtinle
Banadir,Daynile
Galmudug,Dhusamareb 
Southwest,Elbarde
Somaliland,Erigavo
Puntland,Galdogob
Galmudug,Galkaayo 
Banadir,Hamarwen
Galmudug,Hobyo
Banadir,Hodan
Banadir,Holwadag
Southwest,Hudur
Banadir,Kahda
Banadir,Karaan
Somaliland,Lascanod
Hirshabelle,Mataban
Banadir,Wadajir
Southwest,Wajid
Southwest,Wanlaweyn
Banadir,Yaqshid
Jubbaland,Kismayo
Jubbaland,Luuq
Southwest,Dinsoor
Puntland,Iskushuban
Puntland,Qardho
Southwest,rabdhure
Galmudug,Galkaayo CESVI
Southwest,Afgoye CESVI
Galmudug,Dhusamareb NRC
Southwest,Afgoye CWW
Galmudug,Galkaayo IRC
Galmudug,Dhusamareb IRC
