variable,district,From,Up to ,status
Fuel,Adado-Rural,0.9,1,Normal
Fuel,Adado-Rural,1.01,1.2,Alert
Fuel,Adado-Rural,1.21,1.5,Alarm
Goat,Adado-Rural,70,50,Normal
Goat,Adado-Rural,49,35,Alert
Goat,Adado-Rural,34,25,Alarm
Labour,Adado-Rural,15,12,Normal
Labour,Adado-Rural,11,9,Alert
Labour,Adado-Rural,8,6,Alarm
Maize,Adado-Rural,0.8,1,Normal
Maize,Adado-Rural,1.01,1.5,Alert
Maize,Adado-Rural,1.51,2,Alarm
Rice,Adado-Rural,0.8,0.9,Normal
Rice,Adado-Rural,0.91,1.3,Alert
Rice,Adado-Rural,1.31,1.5,Alarm
Sorghum,Adado-Rural,1,1.2,Normal
Sorghum,Adado-Rural,1.21,1.5,Alert
Sorghum,Adado-Rural,1.51,2,Alarm
Water,Adado-Rural,0.4,0.6,Normal
Water,Adado-Rural,0.61,0.7,Alert
Water,Adado-Rural,0.71,1.5,Alarm
Sorghum,Afgoye-Rural,1,1.2,Normal
Sorghum,Afgoye-Rural,1.21,1.5,Alert
Sorghum,Afgoye-Rural,1.51,2.5,Alarm
Water,Afgoye-Rural,0.04,0.08,Normal
Water,Afgoye-Rural,0.09,0.15,Alert
Water,Afgoye-Rural,0.16,0.2,Alarm
Fuel,Afgoye-Rural,0.8,1,Normal
Fuel,Afgoye-Rural,1.01,1.5,Alert
Fuel,Afgoye-Rural,1.51,3,Alarm
Goat,Afgoye-Rural,90,65,Normal
Goat,Afgoye-Rural,64,45,Alert
Goat,Afgoye-Rural,44,25,Alarm
Labour,Afgoye-Rural,8,6,Normal
Labour,Afgoye-Rural,5.99,5,Alert
Labour,Afgoye-Rural,4.99,3,Alarm
Maize,Afgoye-Rural,1.2,1.35,Normal
Maize,Afgoye-Rural,1.36,2,Alert
Maize,Afgoye-Rural,2.01,2.5,Alarm
Rice,Afgoye-Rural,0.8,1,Normal
Rice,Afgoye-Rural,1.01,1.5,Alert
Rice,Afgoye-Rural,1.51,2.3,Alarm
Sorghum,Afmadow-Rural,0.7,0.75,Normal
Sorghum,Afmadow-Rural,0.76,0.8,Alert
Sorghum,Afmadow-Rural,0.81,1,Alarm
Water,Afmadow-Rural,0.07,0.09,Normal
Water,Afmadow-Rural,0.1,0.25,Alert
Water,Afmadow-Rural,0.26,0.3,Alarm
Fuel,Afmadow-Rural,0.9,0.95,Normal
Fuel,Afmadow-Rural,1.01,1.1,Alert
Fuel,Afmadow-Rural,1.11,2,Alarm
Goat,Afmadow-Rural,80,70,Normal
Goat,Afmadow-Rural,69,45,Alert
Goat,Afmadow-Rural,44,35,Alarm
Labour,Afmadow-Rural,7,6,Normal
Labour,Afmadow-Rural,5.99,4.5,Alert
Labour,Afmadow-Rural,4.49,3.5,Alarm
Maize,Afmadow-Rural,0.7,0.78,Normal
Maize,Afmadow-Rural,0.79,0.92,Alert
Maize,Afmadow-Rural,0.93,1.07,Alarm
Rice,Afmadow-Rural,0.9,0.95,Normal
Rice,Afmadow-Rural,0.96,1.1,Alert
Rice,Afmadow-Rural,1.11,1.5,Alarm
Sorghum,Baardhere-Rural,0.8,1,Normal
Sorghum,Baardhere-Rural,1.01,1.45,Alert
Sorghum,Baardhere-Rural,1.46,2,Alarm
Water,Baardhere-Rural,0.3,0.4,Normal
Water,Baardhere-Rural,0.41,0.8,Alert
Water,Baardhere-Rural,0.81,1,Alarm
Fuel,Baardhere-Rural,1,1.2,Normal
Fuel,Baardhere-Rural,1.21,1.75,Alert
