FMS,member,region,district,cluster,community,Residency,geopoint_longitude,geopoint_latitude
Southwest,ACF,Bakool,Hudur,ACF_10,Faraq,Rural,43.95101,4.13028
Southwest,ACF,Bakool,Hudur,ACF_10,Madax_Waraabe,Rural,43.92265,4.12963
Southwest,ACF,Bakool,Hudur,ACF_10,Gaabaney,Rural,43.91582,4.12422
Southwest,ACF,Bakool,Hudur,ACF_10,Gomore,Rural,43.90101,4.21728
Southwest,ACF,Bakool,Hudur,ACF_11,Shillow,Rural,43.85364,4.16058
Southwest,ACF,Bakool,Hudur,ACF_11,Tubooy,Rural,43.84264,4.13198
Southwest,ACF,Bakool,Hudur,ACF_11,Weerow,Rural,43.83451,4.17006
Southwest,ACF,Bakool,Hudur,ACF_11,Waney,Rural,43.82934,4.08178
Southwest,ACF,Bakool,Waajid,ACF_2,Guure,Rural,43.2693,3.80847
Southwest,ACF,Bakool,Waajid,ACF_2,Bula_Faash,Rural,43.26652,3.80812
Southwest,ACF,Bakool,Waajid,ACF_2,Kawo,Rural,43.26483,3.80058
Southwest,ACF,Bakool,Waajid,ACF_2,Madfodey,Rural,43.26217,3.80435
Southwest,ACF,Bakool,Waajid,ACF_2,Waajid,Rural,43.24642,3.80846
Southwest,ACF,Bakool,Rab_dhure,ACF_4,Washaaqo,Rural,43.14508,4.29911
Southwest,ACF,Bakool,Rab_dhure,ACF_4,Dhuuray,Rural,43.08671,4.24782
Southwest,ACF,Bakool,Rab_dhure,ACF_4,Haarxoday,Rural,42.99375,4.26777
Southwest,ACF,Bakool,Rab_dhure,ACF_5,Balicade,Rural,43.14316,4.48887
Southwest,ACF,Bakool,Rab_dhure,ACF_5,Yeed,Rural,43.09469,4.41692
Southwest,ACF,Bakool,Rab_dhure,ACF_6,Ato,Rural,43.25584,4.37871
Southwest,ACF,Bakool,El-berde,ACF_7,Ayeeyo,Rural,43.71078,4.83018
Southwest,ACF,Bakool,El-berde,ACF_7,Higlowayn,Rural,43.70402,4.84645
Southwest,ACF,Bakool,El-berde,ACF_7,Lawareeg,Rural,43.69283,4.77471
Southwest,ACF,Bakool,El-berde,ACF_7,Ondare,Rural,43.68713,4.79165
Southwest,ACF,Bakool,El-berde,ACF_7,Emilow,Rural,43.67846,4.79498
Southwest,ACF,Bakool,El-berde,ACF_7,Danshot,Rural,43.67581,4.76515
Southwest,ACF,Bakool,El-berde,ACF_7,Ceel_Barde,Rural,43.66671,4.82524
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Buulo_Madiina,Rural,45.21537,2.22849
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Shanta_Barako,Rural,45.2136,2.22501
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Bulo_Khalif_2,Rural,45.19999,2.21197
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Iri_Dole,Rural,45.18437,2.1945
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Ballow,Rural,45.1597,2.19028
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Dhajalaq,Rural,45.1535,2.18109
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Jambaluul,Rural,45.15246,2.18391
Southwest,CONCERN,Lower_Shebelle,Afgoye,CWW_2,Abbannaale,Rural,45.14245,2.22267
Jubbaland,CONCERN,Gedo,Belet_Hawa,CWW_4,Gawido,Rural,41.91443,3.81363
Jubbaland,CONCERN,Gedo,Belet_Hawa,CWW_4,Malkariyey,Rural,41.82907,3.77963
Jubbaland,CONCERN,Gedo,Belet_Hawa,CWW_4,Lebi_Dhaxwey,Rural,41.80731,3.59621
Jubbaland,CONCERN,Gedo,Belet_Hawa,CWW_4,Unsi,Rural,41.78743,3.68026
Jubbaland,CONCERN,Gedo,Belet_Hawa,CWW_4,Oda,Rural,41.75071,3.65691
Jubbaland,CONCERN,Gedo,Belet_Hawa,CWW_4,Carabo,Rural,41.72888,3.52373
Jubbaland,CONCERN,Gedo,Baardhere,CWW_5,Bandar,Urban,42.27945,2.3265
Jubbaland,CONCERN,Gedo,Baardhere,CWW_5,Bula_Garas,Rural,42.276,2.36554
Jubbaland,CONCERN,Gedo,Baardhere,CWW_5,Buulo_Asharaaf,Rural,42.26514,2.33668
Jubbaland,CONCERN,Gedo,Baardhere,CWW_5,Bula_Adey,Rural,42.26257,2.32677
Jubbaland,CONCERN,Gedo,Baardhere,CWW_6,Buulo_Dhato,Rural,42.35227,2.29438
Jubbaland,CONCERN,Gedo,Baardhere,CWW_6,Bay_Gaal,Rural,42.34199,2.36335
Jubbaland,CONCERN,Gedo,Baardhere,CWW_6,Hurena,Rural,42.3242,2.36576
Jubbaland,CONCERN,Gedo,Baardhere,CWW_6,Mardha,Rural,42.32117,2.408
Jubbaland,CONCERN,Gedo,Baardhere,CWW_6,Shimbiroole_East,Rural,42.29974,2.36625
Southwest,CONCERN,Lower_Shebelle,Wanla_Weyn,CWW_7,Masiirey,Rural,44.87981,2.68858
Southwest,CONCERN,Lower_Shebelle,Wanla_Weyn,CWW_7,Doonka,Rural,44.86339,2.64817
Southwest,CONCERN,Lower_Shebelle,Wanla_Weyn,CWW_7,Eeribka,Rural,44.85331,2.65842
Southwest,CONCERN,Lower_Shebelle,Wanla_Weyn,CWW_7,Siigoole,Rural,44.85261,2.66558
Southwest,CONCERN,Lower_Shebelle,Wanla_Weyn,CWW_7,Murugeey,Rural,44.83495,2.65666
Southwest,CONCERN,Lower_Shebelle,Wanla_Weyn,CWW_7,Balow,Rural,44.82527,2.64503
Southwest,GREDO,Bay,Diinsoor,GREDO_1,Kacaan,Rural,42.97247,2.41031
Southwest,GREDO,Bay,Diinsoor,GREDO_1,Jiilaalow,Rural,42.97204,2.4166
Southwest,GREDO,Bay,Diinsoor,GREDO_1,Yaqshid,Rural,42.96879,2.40597
Southwest,GREDO,Bay,Diinsoor,GREDO_1,Korkamari,Rural,42.96565,2.41935
Southwest,GREDO,Bay,Diinsoor,GREDO_2,Ramadhawi,Rural,42.98373,2.41611
Southwest,GREDO,Bay,Diinsoor,GREDO_2,Jameecada,Rural,42.9833,2.4097
Southwest,GREDO,Bay,Diinsoor,GREDO_2,Misra_yarey,Rural,42.97823,2.41347
Southwest,GREDO,Bay,Diinsoor,GREDO_3,Buur_rib,Rural,42.98226,2.40865
Southwest,GREDO,Bay,Diinsoor,GREDO_3,Tunida,Rural,42.98007,2.3998
Southwest,GREDO,Bay,Diinsoor,GREDO_3,Buulaxanshe,Rural,42.97579,2.40364
Southwest,GREDO,Bay,Baidoa,GREDO_4,Kulmiye,Rural,43.69334,3.12262
Southwest,GREDO,Bay,Baidoa,GREDO_4,Geldhere,Rural,43.65838,3.1786
Southwest,GREDO,Bay,Baidoa,GREDO_4,Eladow,Rural,43.65296,3.17085
Southwest,GREDO,Bay,Baidoa,GREDO_5,Ashagow,Rural,43.60754,3.08092
Southwest,GREDO,Bay,Baidoa,GREDO_5,Caragaduud,Rural,43.58049,3.11615
Southwest,GREDO,Bay,Baidoa,GREDO_5,Badicade,Rural,43.57129,3.14081
Southwest,GREDO,Bay,Baidoa,GREDO_6,Qurunlow_Reer_Dumal,Rural,43.56153,3.23316
Southwest,GREDO,Bay,Baidoa,GREDO_6,Bullorobow,Rural,43.53566,3.19575
Southwest,GREDO,Bay,Baidoa,GREDO_6,Gofmarere,Rural,43.49075,3.23648
